id;accuracy;pred_0_0;pred_1_0;pred_0_1;pred_1_1;class_recall_0_0;class_recall_1_1;class_precision_0_0;class_precision_1_1;k
1;69.62%;1026;618;648;1875;62.41%;74.32%;61.29%;75.21%;5
2;70.29%;1031;613;625;1898;62.71%;75.23%;62.26%;75.59%;10
3;70.53%;1038;606;622;1901;63.14%;75.35%;62.53%;75.83%;15
4;70.10%;1044;600;646;1877;63.50%;74.40%;61.78%;75.78%;20
5;70.74%;1047;597;622;1901;63.69%;75.35%;62.73%;76.10%;25
