id;accuracy;pred_0_0;pred_1_0;pred_0_1;pred_1_1;class_recall_0_0;class_recall_1_1;class_precision_0_0;class_precision_1_1;maximal_depth
1;74.80%;857;787;263;2260;52.13%;89.58%;76.52%;74.17%;5
2;75.23%;874;770;262;2261;53.16%;89.62%;76.94%;74.60%;10
3;75.04%;857;787;253;2270;52.13%;89.97%;77.21%;74.26%;20
