id;accuracy;pred_0_0;pred_1_0;pred_0_1;pred_1_1;class_recall_0_0;class_recall_1_1;class_precision_0_0;class_precision_1_1;k
1;69.84%;328;165;212;545;66.53%;71.99%;60.74%;76.76%;5
2;70.08%;337;156;218;539;68.36%;71.20%;60.72%;77.55%;10
3;72.16%;347;146;202;555;70.39%;73.32%;63.21%;79.17%;15
4;72.40%;347;146;199;558;70.39%;73.71%;63.55%;79.26%;20
5;72.40%;348;145;200;557;70.59%;73.58%;63.50%;79.34%;25
