"funding_total_usd ";"name";"market ";"funding_rounds";"founded_at";"first_funding_at";"Statuts"
"5700000";"SimulScribe";"Messaging ";3;2003-03-18 00:00:00;2004-01-01 00:00:00;1
"3000000";"Sincerely";"Social Media ";1;2011-01-01 00:00:00;2011-10-26 00:00:00;0
"323777";"Single Cell Technology";"Biotechnology ";1;2008-01-01 00:00:00;2012-12-20 00:00:00;0
"11169005";"Single Touch Systems";"Mobile ";3;2001-01-01 00:00:00;2010-07-09 00:00:00;0
"42300000";"SingleHop";"Networking ";3;2006-01-01 00:00:00;2012-04-25 00:00:00;0
"4575000";"SinglePlatform";"Web Development ";3;2010-01-01 00:00:00;2010-09-29 00:00:00;0
"8950000";"Singly";"Analytics ";3;2010-12-21 00:00:00;2011-02-01 00:00:00;0
"5000000";"Singular";"Marketing Automation ";1;2014-01-01 00:00:00;2014-07-17 00:00:00;0
"127336875";"Singulex";"Biotechnology ";7;2003-01-01 00:00:00;2006-07-17 00:00:00;0
"300000";"SingWho";"Music ";1;2012-01-01 00:00:00;2013-03-25 00:00:00;0
"1000000";"SiNode Systems";"Batteries ";2;2012-01-01 00:00:00;2014-03-13 00:00:00;0
"10168014";"Sinopsys Surgical";"Health Care ";4;2011-01-01 00:00:00;2011-04-06 00:00:00;0
"30000";"Sintact Medical Systems, LLC";"Medical Devices ";1;2013-04-23 00:00:00;2014-08-28 00:00:00;0
"25000";"SiO2 Nanotech";"Nanotechnology ";1;2010-03-01 00:00:00;2012-11-21 00:00:00;0
"12000000";"Sionex";"Hardware + Software ";1;2001-01-01 00:00:00;2005-12-07 00:00:00;1
"1965000";"Sionic Mobile";"Software ";1;2010-01-01 00:00:00;2011-05-17 00:00:00;0
"20150000";"SiOnyx";"Video ";3;2006-01-01 00:00:00;2006-06-23 00:00:00;0
"39730000";"Sipera Systems";"Security ";4;2003-01-01 00:00:00;2005-02-04 00:00:00;0
"25000000";"Siperian";"Analytics ";1;2000-01-01 00:00:00;2008-01-22 00:00:00;0
"860000";"SiphonLabs";"Web Hosting ";1;2013-03-01 00:00:00;2012-01-01 00:00:00;0
"4200000";"SIPP International Industries";"Hospitality ";1;2011-03-17 00:00:00;2011-12-22 00:00:00;1
"6400000";"SIPX";"Education ";2;2012-01-01 00:00:00;2012-10-01 00:00:00;0
"4000000";"SirenServ";"Web Tools ";4;1998-01-01 00:00:00;2000-07-31 00:00:00;0
"24000000";"Siri";"Consumer Electronics ";2;2007-12-01 00:00:00;2008-10-13 00:00:00;0
"18800000";"Sirific Wireless";"Semiconductors ";1;2000-01-01 00:00:00;2007-02-12 00:00:00;0
"29184010";"Sirion Holdings";"Biotechnology ";2;2006-01-01 00:00:00;2009-08-05 00:00:00;0
"4580000";"SirionLabs";"Software ";1;2012-01-01 00:00:00;2014-04-25 00:00:00;0
"1475000";"Sirrus Technology";"Hardware + Software ";1;2007-01-01 00:00:00;2007-06-20 00:00:00;0
"82000000";"Sirtris Pharmaceuticals";"Pharmaceuticals ";4;2004-01-01 00:00:00;2004-01-01 00:00:00;0
"7500";"Sisasa";"Financial Services ";1;2013-05-01 00:00:00;2013-06-01 00:00:00;0
"1562000";"SISCAPA Assay Technologies";"Biotechnology ";2;2011-01-01 00:00:00;2012-08-23 00:00:00;0
"350000";"SiteBrains";"Internet ";1;2010-08-01 00:00:00;2010-08-01 00:00:00;0
"15000000";"SiteExcell Tower Partners";"Mobile ";1;1998-01-01 00:00:00;2006-03-20 00:00:00;0
"180000";"Sitefly";"Software ";1;2011-01-01 00:00:00;2013-04-01 00:00:00;0
"800000";"Siteheart";"Estimation and Quoting ";1;2005-01-26 00:00:00;2005-01-01 00:00:00;0
"4640537";"Sitemasher";"SaaS ";2;2007-12-01 00:00:00;2007-12-01 00:00:00;0
"725000";"Siteminis";"Mobile ";2;2007-01-01 00:00:00;2009-12-31 00:00:00;0
"7000000";"Siterra";"Software ";1;2001-01-01 00:00:00;2005-10-25 00:00:00;0
"2325000";"SiteWit";"Search ";2;2011-01-01 00:00:00;2007-03-01 00:00:00;0
"64967223";"SiTime";"Computers ";5;2005-01-01 00:00:00;2009-09-03 00:00:00;0
"39838411";"Sitrion";"Enterprise Software ";11;2004-01-01 00:00:00;2004-06-23 00:00:00;0
"125000";"SitScape";"Collaboration ";2;2007-01-01 00:00:00;2009-10-23 00:00:00;0
"48100000";"Sittercity";"Curated Web ";5;2001-01-01 00:00:00;2009-01-30 00:00:00;0
"15000000";"Siva Power";"Manufacturing ";1;2006-01-01 00:00:00;2014-06-19 00:00:00;0
"400000";"Siva Therapeutics";"Biotechnology ";1;2011-01-01 00:00:00;2012-12-20 00:00:00;0
"340000";"SIVI";"Education ";1;2013-07-01 00:00:00;2014-01-07 00:00:00;0
"17999998";"Six Degrees Games";"Games ";3;2006-01-01 00:00:00;2008-07-29 00:00:00;1
"1000";"Six Star Enterprises";"Automotive ";1;2009-01-02 00:00:00;2014-04-17 00:00:00;0
"1443887";"Six Trees Capital";"Finance ";2;2013-01-01 00:00:00;2013-12-12 00:00:00;0
"650000";"SixDoors";"E-Commerce ";1;2013-03-01 00:00:00;2013-05-13 00:00:00;0
"250000";"SixIntel";"Software ";1;2011-07-04 00:00:00;2011-12-01 00:00:00;1
"2204171";"SixthEye";"E-Commerce ";3;2010-01-01 00:00:00;2010-04-14 00:00:00;0
"251000";"Sixty Second Parent";"Software ";1;2008-01-01 00:00:00;2011-09-06 00:00:00;0
"475000";"SIZESEEKER";"Fashion ";1;2012-06-01 00:00:00;2012-10-18 00:00:00;0
"317 ";"Sjh direct marketing concepts";"Entertainment ";1;2014-09-01 00:00:00;2014-09-04 00:00:00;0
"18000";"Skaffl";"K-12 Education ";1;2012-04-01 00:00:00;2014-02-10 00:00:00;0
"150000";"Skataz";"Hardware + Software ";1;2007-05-01 00:00:00;2009-01-01 00:00:00;1
"1600000";"skedge.me";"Software ";1;2010-01-01 00:00:00;2012-03-16 00:00:00;0
"50000";"Skemaz";"Software ";1;2014-01-29 00:00:00;2014-09-15 00:00:00;0
"2500000";"Sketchfab";"Finance ";2;2012-05-15 00:00:00;2013-01-29 00:00:00;0
"750000";"SkiApps.com";"Twin-Tip Skis ";1;2011-01-01 00:00:00;2011-01-01 00:00:00;0
"1100000";"Skift";"Media ";2;2012-01-30 00:00:00;2013-05-15 00:00:00;0
"60000";"Skigit";"Brand Marketing ";2;2013-11-11 00:00:00;2014-02-24 00:00:00;0
"25000";"Skill-Life";"Games ";2;2007-01-01 00:00:00;2008-06-01 00:00:00;1
"20000";"SkillBridge";"Sales and Marketing ";2;2013-05-01 00:00:00;2013-07-25 00:00:00;0
"275000";"SkilledWizard";"Employment ";2;2012-06-01 00:00:00;2013-01-13 00:00:00;0
"20000";"SkillHound";"Recruiting ";1;2011-11-30 00:00:00;2013-02-28 00:00:00;0
